   t     nR      nF
31.350000  1.358649  0.899142
31.400000  1.364905  0.909116
31.450000  1.371107  0.919069
31.500000  1.376001  0.929581
31.550000  1.380846  0.940066
31.600000  1.384277  0.951062
31.650000  1.387665  0.962026
31.700000  1.389547  0.973439
31.750000  1.391392  0.984815
31.800000  1.391660  0.996566
31.850000  1.391899  1.008275
31.900000  1.390508  1.020274
31.950000  1.389098  1.032227
32.000000  1.386031  1.044372
32.050000  1.382956  1.056467
32.100000  1.378222  1.068647
32.150000  1.373492  1.080773
32.200000  1.367128  1.092867
32.250000  1.360780  1.104903
32.300000  1.352853  1.116784
32.350000  1.344953  1.128606
32.400000  1.335556  1.140143
32.450000  1.326198  1.151621
32.500000  1.315448  1.162683
32.550000  1.304748  1.173686
32.600000  1.292787  1.184143
32.650000  1.280884  1.194544
32.700000  1.267868  1.204275
32.750000  1.254918  1.213953
32.800000  1.241018  1.222843
32.850000  1.227191  1.231684
32.900000  1.212586  1.239632
32.950000  1.198058  1.247538
33.000000  1.182930  1.254457
33.050000  1.167880  1.261342
33.100000  1.152408  1.267163
33.150000  1.137014  1.272956
33.200000  1.121373  1.277627
33.250000  1.105807  1.282279
33.300000  1.090158  1.285768
33.350000  1.074581  1.289245
33.400000  1.059076  1.291537
33.450000  1.043638  1.293826
33.500000  1.028412  1.294925
33.550000  1.013246  1.296028
33.600000  0.998417  1.295955
33.650000  0.983642  1.295893
33.700000  0.969311  1.294683
33.750000  0.955029  1.293491
33.800000  0.941282  1.291193
33.850000  0.927577  1.288918
33.900000  0.914483  1.285592
33.950000  0.901424  1.282294
34.000000  0.889036  1.278008
34.050000  0.876678  1.273753
34.100000  0.865037  1.268583
34.150000  0.853420  1.263446
34.200000  0.842554  1.257471
34.250000  0.831707  1.251531
34.300000  0.821634  1.244833
34.350000  0.811575  1.238172
34.400000  0.802304  1.230835
34.450000  0.793044  1.223535
34.500000  0.784577  1.215642
34.550000  0.776117  1.207786
34.600000  0.768450  1.199418
34.650000  0.760788  1.191086
34.700000  0.753913  1.182323
34.750000  0.747040  1.173594
34.800000  0.740944  1.164510
34.850000  0.734850  1.155460
34.900000  0.729520  1.146128
34.950000  0.724190  1.136828
35.000000  0.719611  1.127315
35.050000  0.715031  1.117833
35.100000  0.711186  1.108202
35.150000  0.707338  1.098601
35.200000  0.704212  1.088911
35.250000  0.701081  1.079249
35.300000  0.698656  1.069555
35.350000  0.696226  1.059886
35.400000  0.694486  1.050237
35.450000  0.692742  1.040611
35.500000  0.691673  1.031053
35.550000  0.690599  1.021516
35.600000  0.690187  1.012089
35.650000  0.689770  1.002683
35.700000  0.690002  0.993426
35.750000  0.690229  0.984187
35.800000  0.691094  0.975133
35.850000  0.691953  0.966096
35.900000  0.693439  0.957277
35.950000  0.694921  0.948473
36.000000  0.697020  0.939915
36.050000  0.699114  0.931372
36.100000  0.701818  0.923101
36.150000  0.704517  0.914844
36.200000  0.707817  0.906882
36.250000  0.711113  0.898933
36.300000  0.715004  0.891301
36.350000  0.718891  0.883680
