     t       numeric x    exact x     numeric v     exact v  
0.11750000  1.17229848  1.17229814  9.93104935  9.93104814
0.11800000  1.17726371  1.17726352  9.93046072  9.93046074
0.11850000  1.18222894  1.18222860  9.92987209  9.92987087
0.11900000  1.18719359  1.18719339  9.92927849  9.92927852
0.11950000  1.19215823  1.19215788  9.92868490  9.92868368
0.12000000  1.19712227  1.19712207  9.92808633  9.92808636
0.12050000  1.20208631  1.20208597  9.92748777  9.92748656
0.12100000  1.20704976  1.20704956  9.92688425  9.92688427
0.12150000  1.21201320  1.21201285  9.92628072  9.92627951
0.12200000  1.21697604  1.21697584  9.92567224  9.92567226
0.12250000  1.22193888  1.22193852  9.92506375  9.92506253
0.12300000  1.22690110  1.22690090  9.92445030  9.92445032
0.12350000  1.23186333  1.23186297  9.92383685  9.92383563
0.12400000  1.23682494  1.23682474  9.92321843  9.92321846
0.12450000  1.24178655  1.24178619  9.92260002  9.92259881
0.12500000  1.24674754  1.24674733  9.92197665  9.92197667
0.12550000  1.25170853  1.25170817  9.92135327  9.92135206
0.12600000  1.25666889  1.25666869  9.92072494  9.92072496
0.12650000  1.26162926  1.26162889  9.92009660  9.92009539
0.12700000  1.26658899  1.26658878  9.91946331  9.91946334
0.12750000  1.27154872  1.27154835  9.91883001  9.91882880
0.12800000  1.27650782  1.27650761  9.91819176  9.91819179
0.12850000  1.28146692  1.28146654  9.91755351  9.91755229
0.12900000  1.28642537  1.28642516  9.91691029  9.91691032
0.12950000  1.29138383  1.29138345  9.91626708  9.91626587
0.13000000  1.29634164  1.29634143  9.91561891  9.91561894
0.13050000  1.30129945  1.30129907  9.91497074  9.91496953
0.13100000  1.30625661  1.30625640  9.91431761  9.91431764
0.13150000  1.31121377  1.31121339  9.91366448  9.91366327
0.13200000  1.31617028  1.31617006  9.91300640  9.91300642
0.13250000  1.32112678  1.32112640  9.91234831  9.91234710
0.13300000  1.32608262  1.32608240  9.91168527  9.91168530
0.13350000  1.33103847  1.33103808  9.91102223  9.91102102
0.13400000  1.33599365  1.33599343  9.91035423  9.91035426
0.13450000  1.34094882  1.34094844  9.90968623  9.90968502
0.13500000  1.34590333  1.34590311  9.90901328  9.90901331
0.13550000  1.35085784  1.35085745  9.90834033  9.90833912
0.13600000  1.35581167  1.35581145  9.90766242  9.90766245
0.13650000  1.36076550  1.36076511  9.90698452  9.90698331
0.13700000  1.36571866  1.36571843  9.90630166  9.90630169
0.13750000  1.37067181  1.37067141  9.90561880  9.90561759
0.13800000  1.37562428  1.37562405  9.90493099  9.90493102
0.13850000  1.38057674  1.38057634  9.90424317  9.90424197
0.13900000  1.38552852  1.38552829  9.90355041  9.90355044
0.13950000  1.39048030  1.39047989  9.90285765  9.90285644
0.14000000  1.39543138  1.39543115  9.90215993  9.90215996
0.14050000  1.40038246  1.40038205  9.90146221  9.90146101
0.14100000  1.40533284  1.40533261  9.90075955  9.90075958
0.14150000  1.41028322  1.41028281  9.90005688  9.90005568
0.14200000  1.41523290  1.41523266  9.89934926  9.89934930
0.14250000  1.42018257  1.42018216  9.89864165  9.89864044
0.14300000  1.42513154  1.42513130  9.89792908  9.89792912
0.14350000  1.43008050  1.43008009  9.89721652  9.89721531
0.14400000  1.43502875  1.43502852  9.89649900  9.89649904
0.14450000  1.43997700  1.43997659  9.89578149  9.89578028
0.14500000  1.44492454  1.44492430  9.89505902  9.89505906
0.14550000  1.44987207  1.44987165  9.89433656  9.89433536
0.14600000  1.45481887  1.45481863  9.89360915  9.89360919
0.14650000  1.45976568  1.45976525  9.89288174  9.89288054
0.14700000  1.46471175  1.46471151  9.89214939  9.89214942
0.14750000  1.46965783  1.46965740  9.89141703  9.89141583
0.14800000  1.47460317  1.47460293  9.89067973  9.89067976
0.14850000  1.47954851  1.47954808  9.88994243  9.88994123
0.14900000  1.48449311  1.48449287  9.88920018  9.88920022
0.14950000  1.48943771  1.48943728  9.88845793  9.88845673
0.15000000  1.49438157  1.49438132  9.88771074  9.88771078
0.15050000  1.49932543  1.49932499  9.88696355  9.88696235
0.15100000  1.50426854  1.50426829  9.88621142  9.88621145
0.15150000  1.50921164  1.50921120  9.88545928  9.88545808
0.15200000  1.51415399  1.51415374  9.88470221  9.88470224
0.15250000  1.51909635  1.51909591  9.88394513  9.88394393
0.15300000  1.52403794  1.52403769  9.88318311  9.88318315
0.15350000  1.52897953  1.52897909  9.88242109  9.88241989
0.15400000  1.53392036  1.53392011  9.88165413  9.88165417
0.15450000  1.53886119  1.53886074  9.88088717  9.88088597
0.15500000  1.54380125  1.54380099  9.88011527  9.88011531
0.15550000  1.54874131  1.54874086  9.87934337  9.87934217
0.15600000  1.55368059  1.55368033  9.87856653  9.87856657
0.15650000  1.55861987  1.55861942  9.87778969  9.87778849
0.15700000  1.56355838  1.56355812  9.87700791  9.87700795
0.15750000  1.56849689  1.56849643  9.87622613  9.87622493
0.15800000  1.57343461  1.57343435  9.87543941  9.87543945
0.15850000  1.57837233  1.57837187  9.87465269  9.87465150
0.15900000  1.58330926  1.58330900  9.87386104  9.87386108
0.15950000  1.58824619  1.58824573  9.87306938  9.87306819
0.16000000  1.59318233  1.59318207  9.87227279  9.87227283
0.16050000  1.59811847  1.59811800  9.87147620  9.87147501
0.16100000  1.60305381  1.60305354  9.87067467  9.87067472
0.16150000  1.60798914  1.60798868  9.86987315  9.86987196
0.16200000  1.61292368  1.61292341  9.86906668  9.86906673
0.16250000  1.61785821  1.61785774  9.86826022  9.86825903
0.16300000  1.62279194  1.62279167  9.86744883  9.86744887
0.16350000  1.62772566  1.62772519  9.86663743  9.86663624
0.16400000  1.63265858  1.63265831  9.86582110  9.86582114
0.16450000  1.63759149  1.63759101  9.86500477  9.86500358
0.16500000  1.64252358  1.64252331  9.86418351  9.86418355
0.16550000  1.64745567  1.64745520  9.86336225  9.86336106
0.16600000  1.65238694  1.65238667  9.86253605  9.86253610
0.16650000  1.65731821  1.65731773  9.86170986  9.86170867
0.16700000  1.66224865  1.66224838  9.86087873  9.86087878
0.16750000  1.66717909  1.66717861  9.86004761  9.86004642
0.16800000  1.67210870  1.67210842  9.85921156  9.85921160
0.16850000  1.67703831  1.67703782  9.85837550  9.85837432
0.16900000  1.68196708  1.68196680  9.85753452  9.85753456
0.16950000  1.68689584  1.68689536  9.85669353  9.85669235
0.17000000  1.69182377  1.69182349  9.85584762  9.85584767
0.17050000  1.69675169  1.69675120  9.85500171  9.85500053
0.17100000  1.70167877  1.70167849  9.85415087  9.85415092
0.17150000  1.70660585  1.70660535  9.85330003  9.85329885
0.17200000  1.71153207  1.71153179  9.85244426  9.85244431
